item,level,zone,coord
Fire Shard,45 ,Mineral Deposit,Eastern Thanalan,(x12,y19) 
Cobalt Ore,50 ,Mineral Deposit,Northern Thanalan,(x22,y24) 
Adamantoise Shell,50 ,Mineral Deposit,Northern Thanalan,(x22,y24) 
Basilisk Egg,50 ,Mineral Deposit,Northern Thanalan,(x22,y24) 
Ogre Horn,50 ,Mineral Deposit,Northern Thanalan,(x22,y24) 
Wind Shard,50 ,Mineral Deposit,Northern Thanalan,(x22,y24) 
Grade 3 Carbonized Matter,50 ,Rocky Outcrop,Lower La Noscea,(x22,y34) 
Earth Shard,50 ,Rocky Outcrop,Lower La Noscea,(x22,y34) 
Earth Crystal,50 ,Rocky Outcrop,Lower La Noscea,(x22,y34) 
Grade 2 La Noscean Topsoil,50 ,Rocky Outcrop,Lower La Noscea,(x22,y34) 
Grade 3 Carbonized Matter,50 ,Rocky Outcrop,Western Thanalan,(x18,y28) 
Water Shard,50 ,Rocky Outcrop,Western Thanalan,(x18,y28) 
Grade 2 Thanalan Topsoil,50 ,Rocky Outcrop,Western Thanalan,(x18,y28) 
Grade 3 Carbonized Matter,50 ,Rocky Outcrop,East Shroud,(x18,y24) 
Wind Shard,50 ,Rocky Outcrop,East Shroud,(x18,y24) 
Wind Crystal,50 ,Rocky Outcrop,East Shroud,(x18,y24) 
Grade 2 Shroud Topsoil,50 ,Rocky Outcrop,East Shroud,(x18,y24) 
Grade 3 Carbonized Matter,50 ,Rocky Outcrop,Western La Noscea,(x34,y28) 
Ice Shard,50 ,Rocky Outcrop,Western La Noscea,(x34,y28) 
Ice Crystal,50 ,Rocky Outcrop,Western La Noscea,(x34,y28) 
Black Limestone,50 ,Rocky Outcrop,Western La Noscea,(x34,y28) 
Dragon Obsidian,50 ,Mineral Deposit,Coerthas Western Highlands,(x28,y27) 
Ice Crystal,50 ,Mineral Deposit,Coerthas Western Highlands,(x28,y27) 
Ice Crystal,55 ,Mineral Deposit,Coerthas Western Highlands,(x31,y12) 
Raw Larimar,55 ,Mineral Deposit,Coerthas Western Highlands,(x31,y12) 
Raw Mormorion,55 ,Mineral Deposit,Coerthas Western Highlands,(x31,y12) 
Mythrite Ore,55 ,Mineral Deposit,Coerthas Western Highlands,(x31,y12) 
Mythrite Sand,55 ,Rocky Outcrop,Coerthas Western Highlands,(x16,y12) 
Ice Crystal,55 ,Rocky Outcrop,Coerthas Western Highlands,(x16,y12) 
Raw Star Sapphire,55 ,Mineral Deposit,The Dravanian Forelands,(x30,y16) 
Raw Star Ruby,55 ,Mineral Deposit,The Dravanian Forelands,(x30,y16) 
Titanium Ore,55 ,Mineral Deposit,The Dravanian Forelands,(x30,y16) 
Dravanian Spring Water,55 ,Mineral Deposit,The Dravanian Forelands,(x27,y31) 
Raw Tiger's Eye,55 ,Mineral Deposit,The Dravanian Forelands,(x27,y31) 
Raw Agate,55 ,Mineral Deposit,The Dravanian Forelands,(x27,y31) 
Hardsilver Sand,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Cloud Mica,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Earth Crystal,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Tektite,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Fossilized Dragon Bone,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Lumythrite Sand,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Duskfall Moss,60 ,Rocky Outcrop,The Churning Mists,(x29,y18) 
Hardsilver Ore,60 ,Mineral Deposit,The Dravanian Hinterlands,(x27,y24) 
Raw Chrysolite,60 ,Mineral Deposit,The Dravanian Hinterlands,(x27,y24) 
Wyrm Obsidian,60 ,Mineral Deposit,The Dravanian Hinterlands,(x27,y24) 
Wind Crystal,60 ,Mineral Deposit,The Dravanian Hinterlands,(x27,y24) 
Abalathian Spring Water,60 ,Mineral Deposit,The Sea of Clouds,(x33,y31) 
Aurum Regis Sand,60 ,Mineral Deposit,The Sea of Clouds,(x33,y31) 
Lightning Crystal,60 ,Mineral Deposit,The Sea of Clouds,(x33,y31) 
Water Crystal,60 ,Mineral Deposit,The Sea of Clouds,(x33,y31) 
Ice Stalagmite,60 ,Mineral Deposit,Coerthas Western Highlands,(x23,y30) 
Eventide Jade,60 ,Mineral Deposit,Coerthas Western Highlands,(x23,y30) 
Raw Citrine,60 ,Mineral Deposit,Coerthas Western Highlands,(x23,y30) 
Ice Crystal,60 ,Mineral Deposit,Coerthas Western Highlands,(x23,y30) 
Beastkin Horn,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Fire Crystal,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Eventide Jade,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Raw Carnelian,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Raw Opal,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Grade 5 Carbonized Matter,60 ,Mineral Deposit,The Dravanian Forelands,(x20,y26) 
Gyr Abanian Alumen,60 ,Mineral Deposit,The Fringes,(x15,y12) 
Wind Crystal,60 ,Mineral Deposit,The Fringes,(x15,y12) 
Gyr Abanian Mineral Water,65 ,Mineral Deposit,The Fringes,(x23,y13) 
Raw Kyanite,65 ,Mineral Deposit,The Fringes,(x23,y13) 
Wind Crystal,65 ,Mineral Deposit,The Fringes,(x23,y13) 
Koppranickel Sand,65 ,Rocky Outcrop,The Peaks,(x21,y13) 
Stiperstone,65 ,Rocky Outcrop,The Peaks,(x21,y13) 
Slate,65 ,Rocky Outcrop,The Peaks,(x21,y13) 
Earth Crystal,65 ,Rocky Outcrop,The Peaks,(x21,y13) 
Koppranickel Ore,65 ,Mineral Deposit,Ruby Sea,(x25,y35) 
Feather Iron Ore,65 ,Mineral Deposit,Ruby Sea,(x25,y35) 
Water Crystal,65 ,Mineral Deposit,Ruby Sea,(x25,y35) 
Diatomite,65 ,Mineral Deposit,Ruby Sea,(x14,y16) 
Water Crystal,65 ,Mineral Deposit,Ruby Sea,(x14,y16) 
Doman Iron Ore,65 ,Mineral Deposit,Yanxia,(x33,y22) 
Crescent Spring Water,65 ,Mineral Deposit,Yanxia,(x33,y22) 
Fire Crystal,65 ,Mineral Deposit,Yanxia,(x33,y22) 
Durium Ore,70 ,Mineral Deposit,Yanxia,(x36,y19) 
Serpentine,70 ,Mineral Deposit,Yanxia,(x36,y19) 
Fire Crystal,70 ,Mineral Deposit,Yanxia,(x36,y19) 
Durium Sand,70 ,Mineral Deposit,The Azim Steppe,(x29,y15) 
Doman Iron Sand,70 ,Mineral Deposit,The Azim Steppe,(x29,y15) 
Palladium Sand,70 ,Mineral Deposit,The Azim Steppe,(x29,y15) 
Lightning Crystal,70 ,Mineral Deposit,The Azim Steppe,(x29,y15) 
Molybdenum Ore,70 ,Mineral Deposit,The Lochs,(x10,y18) 
Ice Crystal,70 ,Mineral Deposit,The Lochs,(x10,y18) 

